#{"t_start": 1701078767.9973032, "env_id": "None"}
r,l,t
5.019902,475,4134.959635
5.00077,561,4145.7312
0.916861,117,4148.523301
1.937802,153,4151.872718
1.988398,154,4155.249735
1.724464,238,4160.444922
1.631244,147,4163.635915
4.647777,506,4173.514028
3.928365,668,4186.209538
2.668397,150,4189.33093
2.517365,149,4192.368155
1.35279,93,4194.352408
1.440855,89,4196.273438
1.649058,381,4203.392467
2.042085,367,4210.260212
2.757908,383,4217.380744
2.417407,147,4220.331059
1.686667,209,4224.391201
4.438897,377,4231.37998
2.745065,177,4234.826438
7.760574,469,4243.611785
1.838243,300,4249.303451
1.582966,146,4252.240687
6.836136,624,4263.70116
2.882919,241,4268.384125
1.001317,94,4270.405976
1.487511,99,4272.546035
4.798296,341,4279.059465
3.04467,196,4282.855963
5.918071,487,4291.814045
10.3433,889,4308.151603
3.30728,301,4314.093047
1.210012,105,4316.31942
6.843951,507,4325.686383
2.391186,165,4329.039121
5.133464,318,4335.159487
1.633066,102,4337.397343
2.184202,174,4340.85738
6.21886,377,4347.865247
5.840777,531,4357.749937
2.397485,303,4363.611631
2.170308,141,4366.532363
3.108345,350,4373.263421
1.240317,94,4375.283362
1.41338,93,4377.260943
7.182972,549,4387.157659
12.699655,670,4399.198332
1.45573,137,4401.908543
5.981533,350,4408.331608
1.525675,336,4414.452046
1.614099,195,4418.266434
2.665189,180,4421.759917
2.271705,253,4426.568322
2.840367,175,4430.092898
6.246704,366,4436.912252
1.276253,135,4439.626237
2.454198,179,4443.038868
3.250122,168,4446.372921
1.441671,148,4449.277667
1.155394,210,4453.391121
2.999306,328,4459.546883
7.154398,440,4468.722128
1.718254,352,4475.579167
1.293439,182,4479.045336
7.455933,558,4489.035487
4.544276,814,4503.544244
3.589028,405,4510.922656
10.5901,756,4524.409615
1.28909,178,4527.880914
3.349434,257,4532.610365
8.630392,648,4544.363269
1.993665,268,4549.431911
1.107664,247,4554.077385
10.179498,579,4564.496937
5.107512,607,4575.354654
6.59843,513,4584.595232
4.991958,206,4588.499932
3.219015,412,4595.979483
1.794244,155,4599.012849
1.419661,85,4600.82141
9.886166,568,4610.988272
1.536265,135,4613.656934
1.968958,170,4616.962955
3.252742,332,4623.139855
2.368513,232,4627.550814
7.201924,307,4633.350976
4.934292,415,4640.987832
3.800399,384,4648.079956
4.029684,707,4660.766105
3.047548,475,4669.346826
3.731477,454,4677.490403
1.26193,105,4679.665953
1.978789,397,4687.004016
1.231551,448,4695.349337
2.926281,294,4700.872078
1.190809,93,4702.864528
2.941827,215,4706.992639
1.416325,364,4713.727131
8.902292,1001,4731.613722
2.652212,243,4736.487923
1.73981,105,4739.018923
2.411877,180,4742.974093
2.368006,315,4749.981407
4.240805,248,4754.855973
7.028217,492,4764.756912
3.962884,324,4770.986296
2.401752,276,4776.411169
2.880787,216,4780.628492
1.339492,384,4787.719897
4.195574,236,4792.269635
4.984236,369,4799.324974
5.075489,419,4807.303366
6.074785,358,4813.95423
1.54432,209,4817.979455
6.575725,526,4827.745304
8.911217,680,4840.689674
2.877161,221,4845.33101
1.509659,94,4847.370205
6.610458,346,4854.000557
2.071693,178,4857.690354
1.096769,101,4859.899115
1.593857,98,4862.005592
5.163647,390,4869.7777
1.349949,94,4871.908621
1.271353,91,4874.014349
1.498284,86,4875.928285
4.102429,389,4883.288821
3.92519,375,4890.27667
5.328905,345,4896.617575
4.553757,266,4901.746768
1.76528,138,4904.591995
2.994238,161,4907.817569
3.692746,256,4912.664345
3.90206,214,4916.732634
15.187565,959,4934.105823
1.274298,215,4938.332177
4.143854,265,4943.272824
2.637772,219,4947.533936
7.042817,550,4957.368489
5.641973,319,4963.320444
2.425129,182,4966.840824
2.186932,310,4972.524113
1.373186,369,4980.097828
2.054965,304,4985.77809
4.654104,264,4991.137012
8.30923,441,5000.083043
10.374684,635,5011.587339
7.928164,721,5024.885583
1.965078,469,5033.61576
3.715803,267,5038.786953
16.796988,1001,5057.153359
2.322758,155,5060.233119
4.269344,256,5065.096848
6.716448,317,5071.070135
20.519931,1001,5089.397889
4.523619,351,5096.292286
5.634192,579,5107.699709
4.742305,475,5116.954879
2.314451,157,5120.364455
4.735206,420,5128.513988
7.609147,646,5140.089198
1.393002,107,5142.621895
4.136648,356,5150.071604
5.77869,334,5157.235276
1.488512,285,5163.025618
2.985012,334,5169.279189
4.024696,307,5175.517998
3.265138,198,5179.973571
12.965397,757,5194.210663
2.013083,218,5198.429435
2.489725,336,5204.84779
9.521719,650,5217.222825
5.756302,351,5223.942468
8.911217,542,5235.237596
3.451778,270,5240.994676
2.392985,171,5244.55061
6.216341,378,5251.786472
7.078927,426,5259.587136
3.818943,270,5264.63865
4.682872,380,5271.692275
2.57459,386,5278.773447
4.321155,196,5282.498965
3.218362,476,5291.322926
10.001687,684,5303.931458
13.842378,617,5315.213358
5.753201,356,5321.88553
5.281987,260,5326.835156
6.99912,506,5336.256712
13.746641,547,5346.238312
7.741015,528,5356.095762
